id,entity,faction,desc id,default
# this should be a unique string,,,,
# corvus system,,,,
jangala_sindrian_diktat,jangala,sindrian_diktat,planet_jangala_sindrian_diktat,
jangala_station_sindrian_diktat,corvus_hegemony_station,sindrian_diktat,station_jangala_sindrian_diktat,
,,,,
asharu_sindrian_diktat,asharu,sindrian_diktat,planet_asharu_sindrian_diktat,
,,,,
garnir_sindrian_diktat,corvus_IIIa,sindrian_diktat,planet_garnir_sindrian_diktat,
garnir_station_sindrian_diktat,corvus_pirate_station,sindrian_diktat,station_garnir_sindrian_diktat,
,,,,
barad_sindrian_diktat,barad,sindrian_diktat,planet_barad_sindrian_diktat,
,,,,
warion_sindrian_diktat,corvus_IIIb,sindrian_diktat,planet_warion_sindrian_diktat,
,,,,
# canaan system,,,,
gilead_sindrian_diktat,gilead,sindrian_diktat,planet_gilead_sindrian_diktat,
,,,,
asher_sindrian_diktat,asher,sindrian_diktat,planet_asher_sindrian_diktat,
,,,,
# mayasura system,,,,
mairaath_sindrian_diktat,mairaath,sindrian_diktat,planet_mairaath_sindrian_diktat,
,,,,
port_tse_sindrian_fuel,port_tse,sindrian_diktat,station_port_tse_sindrian_fuel,
,,,,
lost_astropolis_sindrian_fuel,mairaath_abandoned_station2,sindrian_diktat,station_lost_astropolis_sindrian_fuel,
,,,,
# hybrasil system,,,,
culann_sindrian_diktat,culann,sindrian_diktat,planet_culann_sindrian_diktat,
,,,,
donn_sindrian_diktat,donn,sindrian_diktat,planet_donn_sindrian_diktat,
,,,,
eochu_bres_sindrian_fuel,eochu_bres,sindrian_diktat,planet_eochu_bres_sindrian_fuel,
,,,,
cethlenn_sindrian_fuel,cethlenn,sindrian_diktat,planet_cethlenn_sindrian_fuel,
,,,,
# arcadia system,,,,
nomios_sindrian_diktat,nomios,sindrian_diktat,planet_nomios_sindrian_diktat,
,,,,
agreus_sindrian_fuel,agreus,sindrian_diktat,planet_agreus_sindrian_fuel,
,,,,
arcadia_station_sindrian_fuel,arcadia_station,sindrian_diktat,station_arcadia_sindrian_fuel,
,,,,
# galatia system,,,,
ancyra_sindrian_diktat,ancyra,sindrian_diktat,planet_ancyra_sindrian_diktat,
ancyra_station_sindrian_diktat,ancyra_station,sindrian_diktat,station_ancyra_sindrian_diktat,
,,,,
derinkuyu_station_sindrian_fuel,derinkuyu_station,sindrian_diktat,station_derinkuyu_sindrian_fuel,
,,,,
# magec system,,,,
tibicena_sindrian_fuel,tibicinea,sindrian_diktat,planet_tibicena_sindrian_fuel,
achaman_station_sindrian_fuel,achaman_enterprise_station,sindrian_diktat,station_achaman_sindrian_fuel,
,,,,
maxios_station_sindrian_fuel,new_maxios,sindrian_diktat,station_maxios_sindrian_fuel,
,,,,
kantas_den_sindrian_fuel,kantas_den,sindrian_diktat,station_kantas_den_sindrian_fuel,
,,,,
# tia system,,,,
ogre_sindrian_diktat,tia2,sindrian_diktat,planet_ogre_sindrian_diktat,
,,,,
# naraka system,,,,
chitagupta_sindrian_diktat,chitagupta,sindrian_diktat,planet_chitagupta_sindrian_diktat_fuel,
,,,,
nachiketa_sindrian_diktat,nachiketa,sindrian_diktat,planet_nachiketa_sindrian_diktat,
,,,,
yama_sindrian_diktat,yama,sindrian_diktat,planet_yama_sindrian_diktat,
,,,,
yami_sindrian_diktat,yami,sindrian_diktat,planet_yami_sindrian_diktat_fuel,
,,,,
# al gebbar system,,,,
epiphany_sindrian_diktat,epiphany,sindrian_diktat,planet_epiphany_sindrian_diktat,
,,,,
# aztlan system,,,,
chicomoztoc_sindrina_fuel,chicomoztoc,sindrian_diktat,planet_chicomoztoc_sindrian_fuel,
,,,,
coatl_sindrian_fuel,coatl,sindrian_diktat,planet_coatl_sindrian_fuel,
coatl_station_sindrian_fuel,coatl_station,sindrian_diktat,station_coatl_sindrian_fuel,
,,,,
# thule system,,,,
kazeron_sindrian_fuel,kazeron,sindrian_diktat,planet_kazeron_sindrian_fuel,
,,,,
eldfell_sindrian_fuel,eldfell,sindrian_diktat,planet_eldfell_sindrian_fuel,
,,,,
thule_station_sindrian_fuel,thule_pirate_station,sindrian_diktat,station_thulian_sindrian_fuel,
,,,,
# askonia system,,,,
nortia_sindrian_fuel,nortia,sindrian_diktat,planet_nortia_sindrian_fuel,
,,,,
umbra_sindrian_fuel,umbra,sindrian_diktat,planet_umbra_sindrian_fuel,
,,,,
sindria_fuel,sindria,sindrian_diktat,planet_sindria,TRUE
sindrian_hegemony_fuel,sindria,hegemony,planet_sindria_hegemony_fuel,
,,,,
sindria_station_fuel,diktat_cnc,sindrian_diktat,station_sindria_sindrian_fuel,TRUE
,,,,
# eos exodus system,,,,
tartessus_sindrian_fuel,tartessus,sindrian_diktat,planet_tartessus_sindrian_fuel,
,,,,
hesperus_sindrian_fuel,hesperus,sindrian_diktat,planet_hesperus_sindrian_fuel,
,,,,
baetis_sindrian_fuel,baetis,sindrian_diktat,planet_baetis_sindrian_fuel,
,,,,
# tyle system,,,,
maedeira_sindrian_fuel,maedeira,sindrian_diktat,planet_maedeira_sindrian_fuel,
,,,,
cibola_sindrian_fuel,cibola,sindrina_diktat,planet_cibola_sindrian_fuel,
,,,,
# westernesse system,,,,
fikenhild_sindrian_fuel,fikenhild,sindrian_diktat,planet_fikenhild_sindrian_fuel,
,,,,
suddene_sindrian_fuel,suddene,sindrian_diktat,planet_suddene_sindrian_fuel,
,,,,
athulf_sindrian_fuel,athulf,sindrian_diktat,planet_athulf_sindrian_fuel,
,,,,
ailmar_sindrian_fuel,ailmar,sindrian_diktat,planet_ailmar_sindrian_fuel,
,,,,
# zagan system,,,,
mazalot_sindrian_fuel,mazalot,sindrian_diktat,planet_mazalot_sindrian_fuel,
,,,,
yesod_sindrian_fuel,yesod,sindrian_diktat,planet_yesod_sindrian_fuel,
,,,,
ilm_sindrian_fuel,ilm,sindrian_diktat,planet_ilm_sindrian_fuel,
,,,,
# yma system,,,,
salamanca_sindrian_fuel,salamanca,sindrian_diktat,planet_salamanca_sindrian_fuel,
,,,,
qaras_sindrian_fuel,qaras,sindrian_diktat,planet_qaras_sindrian_fuel,
,,,,
hanan_pacha_sindrian_fuel,hanan_pacha,sindrian_diktat,planet_hanan_pacha_sindrian_fuel,
,,,,
killa_sindrian_fuel,killa,sindrian_diktat,planet_killa_sindrian_fuel,
,,,,
# valhalla system,,,,
raesvelg_sindrian_fuel,raesvelg,sindrian_diktat,planet_raesvelg_sindrian_fuel,
,,,,
ragnar_complex_sindrian_fuel,ragnar_complex,sindrian_diktat,station_ragnar_complex_sindrian_fuel,
,,,,
skathi_sindrian_fuel,skathi,sindrian_diktat,planet_skathi_sindrian_fuel,
,,,,
mimir_platform_sindrian_fuel,mimir_platform,sindrian_diktat,station_mimir_platform_sindrian_fuel,
,,,,
# samarra system,,,,
eventide_sindrian_fuel,eventide,sindrian_diktat,planet_eventide_sindrian_fuel,
,,,,
sphinx_sindrian_fuel,sphinx,sindrian_diktat,planet_sphinx_sindrian_fuel,
,,,,
tigra_city_sindrian_fuel,tigra_city,sindrian_diktat,station_tigra_city_sindrian_fuel,
,,,,
orthrus_sindrian_fuel,orthrus,sindrian_diktat,planet_orthrus_sindrian_fuel,
,,,,
# isirah system,,,,
laicaille_habitat_sindrian_fuel,laicaille_habitat,sindrian_diktat,station_laicaille_sindrian_Fuel,
,,,,
kapeteyn_starworks_sindrian_fuel,station_kapteyn,sindrian_diktat,station_kapteyn_sindrian_fuel,
,,,,
# kumari kandam system,,,,
chanlcedon_sindrian_fuel,chalcedon,sindrian_diktat,planet_chalcedon_sindrian_fuel,
,,,,
olinadu_sindrian_fuel,olinadu,sindrian_diktat,planet_olinadu_sindrian_fuel,
,,,,
kanni_sindrian_fuel,kanni,sindrian_diktat,planet_kanni_sindrian_fuel,
,,,,
# modded colonies,,,,
# iron shell,,,,
# naraka,,,,
chitagupta_sindrian_fuel,eis_chitagupta,sindrian_diktat,planet_chitagupta_sindrian_fuel,
chitagupta_station_sindrian_fuel,eis_lekhanistation,sindrian_diktat,station_chitagupta_sindrian_fuel,
,,,,
yami_sindrian_fuel,eis_yami,sindrian_diktat,planet_yami_sindrian_fuel,
,,,,
# octavioa viii system,,,,
scaria_sindrdian_fuel,fed_headquarters,sindrian_diktat,planet_scaria_sindrian_fuel,
scaria_station_sindrian_fuel,fed_headquarters_station,sindrian_diktat,station_scaria_sindrian_fuel,
,,,,
cessitoc_sindrian_fuel,fed_cessitoc,sindrian_diktat,planet_cessitoc_sindrian_fuel,
cessitoc_station_sindrian_fuel,fed_cessitoc_station,sindrian_diktat,station_cessitoc_sindrian_fuel,
,,,,
pale_twin_sindrian_fuel,fed_paletwin,sindrian_diktat,planet_pale_twin_sindrian_fuel,
pale_twin_station_sindrian_fuel,fed_paletwin_station,sindrian_diktat,station_pale_twin_sindrian_fuel,
,,,,
# united auroran federation,,,,
# aoi system,,,,
auroria_sindrian_fuel,uaf_new_auroria,sindrian_diktat,uaf_auroria_planet_sindrian_fuel,
auroria_station_sindrian_fuel,uaf_eva_station,sindrian_diktat,station_placeholder_sindrian_fuel,
,,,,
vermilion_station_sindrian_fuel,uaf_station_vermilion,sindrian_diktat,station_placeholder_sindrian_fuel,
,,,,
lunamun_sindrian_fuel,uaf_lunamun,sindrian_diktat,uaf_lunamun_planet_sindrian_fuel,
,,,,
ryoko_sindrian_fuel,uaf_ryoko,sindrian_diktat,planet_placeholder_sindrian_fuel,
,,,,
# celestial objection system,,,,
favonius_sindrian_fuel,uaf_favonius,sindrian_diktat,uaf_favonius_planet_sindrian_fuel,
favonius_station_sindrian_fuel,uaf_favonius_station,sindrian_diktat,uaf_favonius_station_sindrian_fuel,
,,,,
# stjarna system,,,,
hemhimmel_sindrian_fuel,uaf_stjarna_hemhimmel,sindrian_diktat,planet_placeholder_sindrian_fuel,
hemhimmel_station_sindrian_fuel,uaf_himmel_refinery,sindrian_diktat,station_placeholder_sindrian_fuel,
,,,,
hem_fayette_station_sindrian_fuel,uaf_hem_fayette,sindrian_diktat,hem_fayette_sindrian_fuel,
,,,,
nur_sindrian_fuel,uaf_stjarna_nur,sindrian_diktat,planet_placeholder_sindrian_fuel,
nur_station_sindrian_fuel,uaf_nur_station,sindrian_diktat,station_placeholder_sindrian_fuel,
,,,,
namnlos_sindrian_fuel,uaf_stjarna_namnlos,sindrian_diktat,planet_placeholder_sindrian_fuel,
namnlos_station_sindrian_fuel,uaf_namnlos_station,sindrian_diktat,station_placeholder_sindrian_fuel,
,,,,
# shadowyards,,,,
tiger_outpost_sindrian_fuel,tiger_post,sindrian_diktat,outpost_tiger_sindrian_fuel,
,,,,
jnana_sindrian_fuel,jnana,sindrian_diktat,planet_jnana_sindrian_fuel,
,,,,
# vic,,,,
megaera_sindrian_fuel,vic_planet_megaera,sindrian_diktat,vic_megaera_sindrian_fuel,
,,,,
# mvs,,,,
gunmetal_sindrian_fuel,gunmetal,sindrian_diktat,planet_gunmetal_sindrian_fuel,
vandium_station_sindrian_diktat,vanadium_station,sindrian_diktat,planet_ivar_sindrian_fuel,
